native,foreign,definition,example,pronunciation,level,lexical_category
house,das Haus,A building where people live,Das Haus ist groß.,/haʊs/,A1,noun
dog,der Hund,A domestic animal that barks,Der Hund bellt.,/hʊnt/,A1,noun
to eat,essen,To take food into the body,Wir essen um sieben.,/ˈɛsn̩/,A1,verb
beautiful,schön,Pleasing to look at,Das Wetter ist schön.,/ʃøːn/,A1,adjective
to understand,verstehen,To grasp the meaning of something,Ich verstehe dich nicht.,/fɛɐ̯ˈʃteːən/,A2,verb
the appointment,der Termin,An arranged meeting at a set time,Ich habe morgen einen Termin.,/tɛʁˈmiːn/,A2,noun
nevertheless,trotzdem,In spite of that,Es regnet; trotzdem gehen wir.,/ˈtʁɔtsdeːm/,B1,adverb
the requirement,die Voraussetzung,Something that must exist first,Deutsch ist eine Voraussetzung.,/foˈʁaʊ̯sˌzɛtsʊŋ/,B2,noun
"to take something for granted","etwas für selbstverständlich halten",To assume something without questioning it,,,C1,phrase
the ambiguity,die Mehrdeutigkeit,The quality of having more than one meaning,,/ˈmeːɐ̯ˌdɔɪ̯tɪçkaɪ̯t/,C2,noun
